Date,Open,High,Low,Close,Adj Close,Volume
2017-03-21,64.320000,64.610001,63.619999,63.910000,62.987915,10550700
2017-03-22,63.980000,64.110001,63.250000,63.500000,62.583832,9549000
2017-03-23,63.360001,63.820000,63.189999,63.279999,62.367004,9461000
2017-03-24,63.160000,63.529999,62.860001,63.180000,62.268448,9136500
2017-03-27,62.919998,63.410000,62.810001,63.189999,62.278301,8015900
2017-03-28,63.200001,63.400002,62.880001,63.340000,62.426140,10185000
2017-03-29,63.669998,64.110001,63.459999,63.639999,62.721809,8135300
2017-03-30,63.500000,63.680000,63.320000,63.450001,62.534550,5322000
2017-03-31,63.259998,63.630001,63.250000,63.540001,62.623253,7614000
2017-04-03,63.430000,63.709999,63.220001,63.470001,62.554264,6643600
2017-04-04,63.590000,63.770000,63.369999,63.669998,62.751373,6345600
2017-04-05,63.689999,64.150002,63.509998,63.570000,62.652821,7713300
2017-04-06,63.480000,63.970001,63.189999,63.240002,62.327583,7552600
2017-04-07,63.279999,63.330002,62.950001,63.130001,62.219170,7721100
2017-04-10,63.270000,63.330002,62.529999,62.549999,61.647537,7247700
2017-04-11,62.490002,62.759998,62.180000,62.580002,61.677105,6544800
2017-04-12,62.369999,63.209999,62.279999,63.049999,62.140324,9509200
2017-04-13,62.790001,63.000000,62.560001,62.610001,61.706673,5932500
2017-04-17,62.709999,62.840000,62.389999,62.799999,61.893929,5334200
2017-04-18,62.459999,62.459999,61.990002,62.270000,61.371574,7394500
2017-04-19,62.259998,62.639999,62.000000,62.639999,61.736237,10349100
2017-04-20,62.660000,62.750000,62.250000,62.549999,61.647537,8962300
2017-04-21,62.360001,62.630001,61.869999,61.889999,60.997055,10498400
2017-04-24,62.500000,62.520000,62.020000,62.139999,61.243450,8846300
2017-04-25,62.490002,62.930000,62.250000,62.299999,61.401142,10691800
2017-04-26,62.630001,62.880001,62.430000,62.700001,61.795372,8859300
2017-04-27,62.779999,62.910000,62.450001,62.580002,61.677105,6603300
2017-04-28,62.580002,62.650002,62.139999,62.330002,61.430710,9419200
2017-05-01,62.250000,62.500000,62.099998,62.380001,61.479992,10217100
2017-05-02,62.509998,63.240002,62.310001,62.700001,61.795372,13022500
2017-05-03,62.500000,63.669998,62.380001,63.630001,62.711956,11429800
2017-05-04,63.669998,63.889999,63.220001,63.380001,62.465561,8610000
2017-05-05,63.500000,64.089996,63.430000,63.970001,63.047047,9346600
2017-05-08,63.910000,64.510002,63.830002,64.010002,63.086475,11149500
2017-05-09,64.180000,64.269997,63.160000,63.290001,62.376862,10222300
2017-05-10,63.130001,63.950001,63.090000,63.939999,63.017483,9631800
2017-05-11,64.750000,65.250000,64.309998,64.430000,63.500412,18515900
2017-05-12,64.389999,64.669998,63.270000,63.570000,62.652821,10342100
2017-05-15,63.419998,63.599998,63.340000,63.509998,62.593685,8311400
2017-05-16,63.439999,63.869999,63.139999,63.790001,62.869648,7870700
2017-05-17,63.790001,63.790001,62.880001,63.000000,62.091042,7916900
2017-05-18,62.910000,64.500000,62.910000,63.889999,62.968201,11954500
2017-05-19,64.040001,64.040001,63.500000,63.779999,62.859791,9293700
2017-05-22,63.700001,64.440002,63.570000,64.040001,63.116039,6226500
2017-05-23,64.000000,64.589996,64.000000,64.550003,63.618683,5734600
2017-05-24,64.769997,65.199997,64.540001,64.930000,63.993198,6955400
2017-05-25,64.959999,65.120003,64.660004,65.040001,64.101616,7095900
2017-05-26,65.000000,65.209999,64.820000,64.919998,63.983337,3685700
2017-05-30,64.720001,65.139999,64.529999,64.879997,63.943920,4885600
2017-05-31,65.080002,65.489998,65.029999,65.110001,64.170609,7788300
2017-06-01,65.089996,65.260002,64.860001,65.260002,64.318436,7560500
2017-06-02,65.459999,65.580002,65.180000,65.470001,64.525406,6298600
2017-06-05,65.349998,65.389999,64.699997,65.070000,64.131180,5968500
2017-06-06,65.000000,65.040001,64.459999,64.669998,63.736942,7841800
2017-06-07,64.599998,64.650002,64.000000,64.059998,63.135746,7606600
2017-06-08,64.059998,64.250000,62.830002,63.200001,62.288158,18435200
2017-06-09,63.200001,64.440002,63.139999,64.389999,63.460991,10750400
2017-06-12,64.389999,64.680000,64.199997,64.389999,63.460991,9400300
2017-06-13,63.730000,63.840000,63.029999,63.270000,62.815655,12053000
2017-06-14,63.020000,63.639999,63.020000,63.369999,62.914936,10338600
2017-06-15,63.299999,63.439999,62.880001,63.189999,62.736229,7866800
2017-06-16,63.259998,63.709999,62.689999,62.970001,62.517811,14902000
2017-06-19,63.090000,63.810001,63.020000,63.680000,63.222710,8426900
2017-06-20,63.680000,64.959999,63.580002,64.529999,64.066605,10263000
2017-06-21,64.559998,65.599998,64.559998,65.459999,64.989929,11145000
